id,reviewed_status,evidence_and_disposition,work_item,verification_state
V9-0886,已共用,已接入共用 InsetTextEditor，原 Binding 與最小高度保留；仍需代表畫面驗收首行、焦點和組字。,docs/work-items/v9.1x-field-first-line-inset-audit.md,待實際 UI 驗收
V9-0887,待共用,純圖標或 iconOnly 按鈕候選；依凍結位置核對 28 pt 命中、間距、help／accessibility、原 action 及禁用條件。 凍結來源：Button(action: onBack) {,docs/work-items/v9-frozen-inventory.md,來源按鈕型態已列；實際命中／鍵盤／Light／Dark 待驗收
V9-0888,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0889,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0890,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0891,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""新增關係"") { showingAddGeneralRelationship = true }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0892,已共用,V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.addRelationship) { showingAddGeneralRelationship = true },docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0893,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""新增血緣關係"") { showingAddSheet = true }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0894,合理例外,目前固定清單中僅此處使用的領域文案「新增血緣關係」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0895,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0896,已共用,V9.1av 已把原色值來源改讀 SailuneTheme.controlSurface，保留原 shape、opacity 與層級；雙重 regex ID 指向同一色值表達式時共同標記。,docs/work-items/v9.1av-frozen-surfaces.md,21 個現行來源、原色值、無簽章 macOS Debug build 與 git diff --check 通過；Light／Dark／hover 實際畫面待驗收
V9-0897,已共用,使用者核定 V9.1ar：親屬圖搜尋欄改接 SailuneSearchField compact，保留原同列順序與 Binding；共用搜尋圖標、清除行為與背景，移除外層 padding。,docs/work-items/v9.1ar-kinship-search-field.md,主機無簽章 Debug build 通過；實際命中／Light／Dark／CJK／VoiceOver 待驗收
V9-0898,合理例外,親屬關係圖專用縮放倍率控制；與資料新增／刪除不同語意，保留專用圖標。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0899,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0900,合理例外,親屬關係圖專用縮放倍率控制；與資料新增／刪除不同語意，保留專用圖標。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0901,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0902,合理例外,內容型系統 sheet 承載此領域編輯流程；不與刪除／錯誤提示共用資料 action，仍需核對取消與焦點。 凍結來源：.sheet(isPresented: $showingAddSheet) {,docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0903,合理例外,內容型系統 sheet 承載此領域編輯流程；不與刪除／錯誤提示共用資料 action，仍需核對取消與焦點。 凍結來源：.sheet(isPresented: $showingAddGeneralRelationship) {,docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0904,合理例外,"親屬關係圖連線描邊，屬圖譜幾何。 來源：.stroke(Color.secondary.opacity(0.5), lineWidth: 1.5)",docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark／hover 實際畫面待驗收
V9-0905,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0906,已共用,背景引用已命名的 theme／AppTheme 色彩來源；用途與 Light／Dark 對照仍需畫面驗收。 凍結來源：.background(Color.appBackground),docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
V9-0907,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0908,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0909,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0910,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0911,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel) { dismiss() }.keyboardShortcut(.cancelAction),docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0912,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0913,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""建立"") {",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0914,已共用,V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.create) {,docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0915,合理例外,catch 明確向上拋出領域／原錯誤，保留呼叫端決策；此處是領域失敗處理，不宜僅為共用化抽成統一資料 action。來源分支：context.rollback() throw error,docs/work-items/v9-frozen-inventory.md,來源分支已複核；故障注入或 GUI 呈現仍待相關驗收
V9-0916,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0917,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""重新命名"") { nameText = map.name; nameOperation = .rename(map.id) }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0918,已共用,V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.rename) { nameText = map.name; nameOperation = .rename(map.id) },docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0919,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(SailuneActionCopy.delete, role: .destructive) { mapToDelete = map }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0920,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0921,合理例外,目前固定清單中僅此處使用的領域文案「新增地圖」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0922,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0923,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.done) { onSelectionChanged(); dismiss() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0924,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0925,待共用,"錯誤或結果 alert 候選；需核對同類標題、詳細訊息、確認按鈕與錯誤出口後決定共用呈現外殼。 凍結來源：.alert(nameOperationTitle, isPresented: Binding(get: { nameOperation != nil }, set: { if !$0 { nameOperation = nil } })) {",docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0926,合理例外,macOS 原生地圖名稱 alert 的輸入欄；保留系統 alert 的焦點與呈現契約。 此例外只涵蓋欄位共用外殼，首行／focus GUI 仍依驗收清單檢查。,docs/work-items/v9-frozen-inventory.md,來源欄位與父容器契約已核對；CJK／focus／首行 GUI 待驗收
V9-0927,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel, role: .cancel) { nameOperation = nil }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0928,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0929,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.save) { performNameOperation() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0930,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0931,待共用,"錯誤或結果 alert 候選；需核對同類標題、詳細訊息、確認按鈕與錯誤出口後決定共用呈現外殼。 凍結來源：.alert(""刪除地圖？"", isPresented: Binding(get: { mapToDelete != nil }, set: { if !$0 { mapToDelete = nil } })) {",docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0932,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel, role: .cancel) { mapToDelete = nil }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0933,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0934,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(SailuneActionCopy.delete, role: .destructive) { deleteSelectedMap() }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0935,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0936,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0937,已共用,V9.1aw 接入 SailuneErrorAlert 共用原生 alert 外殼；原標題、未知錯誤 fallback、好按鈕、地圖 cancel role 與 Binding 清除時機保留。,docs/work-items/v9.1aw-repeated-error-alerts.md,主機無簽章 Debug build 通過；錯誤注入與實際 alert GUI 待驗收
V9-0938,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.acknowledge, role: .cancel) { errorMessage = nil }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0939,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0940,合理例外,領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：} catch { errorMessage = error.localizedDescription },docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0941,合理例外,領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：} catch { errorMessage = error.localizedDescription },docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0942,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0943,合理例外,"原生文字 Button；領域字面標題另由 copy 家族核對是否同功能。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(""重新命名"") { nameText = version.name; nameOperation = .rename(version.id) }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0944,已共用,V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：Button(SailuneActionCopy.rename) { nameText = version.name; nameOperation = .rename(version.id) },docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0945,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(SailuneActionCopy.delete, role: .destructive) { versionToDelete = version }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0946,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0947,合理例外,目前固定清單中僅此處使用的領域文案「新增版本」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0948,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0949,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.done) { onSelectionChanged(); dismiss() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0950,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0951,待共用,"錯誤或結果 alert 候選；需核對同類標題、詳細訊息、確認按鈕與錯誤出口後決定共用呈現外殼。 凍結來源：.alert(nameOperationTitle, isPresented: Binding(get: { nameOperation != nil }, set: { if !$0 { nameOperation = nil } })) {",docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0952,合理例外,macOS 原生版本名稱 alert 的輸入欄；保留系統 alert 的焦點與呈現契約。 此例外只涵蓋欄位共用外殼，首行／focus GUI 仍依驗收清單檢查。,docs/work-items/v9-frozen-inventory.md,來源欄位與父容器契約已核對；CJK／focus／首行 GUI 待驗收
V9-0953,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel, role: .cancel) { nameOperation = nil }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0954,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0955,合理例外,原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.save) { performNameOperation() },docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0956,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0957,待共用,"錯誤或結果 alert 候選；需核對同類標題、詳細訊息、確認按鈕與錯誤出口後決定共用呈現外殼。 凍結來源：.alert(""刪除版本？"", isPresented: Binding(get: { versionToDelete != nil }, set: { if !$0 { versionToDelete = nil } })) {",docs/work-items/v9-frozen-inventory.md,來源呈現類型已核對；失敗／取消／GUI 待驗收
V9-0958,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.cancel, role: .cancel) { versionToDelete = nil }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0959,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0960,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(SailuneActionCopy.delete, role: .destructive) { deleteSelectedVersion() }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0961,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0962,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0963,已共用,V9.1aw 接入 SailuneErrorAlert 共用原生 alert 外殼；原標題、未知錯誤 fallback、好按鈕、地圖 cancel role 與 Binding 清除時機保留。,docs/work-items/v9.1aw-repeated-error-alerts.md,主機無簽章 Debug build 通過；錯誤注入與實際 alert GUI 待驗收
V9-0964,合理例外,"原生文字 Button；已使用 SailuneActionCopy 共用標題。保留 macOS 原生控制以承載此處 action；對應 button_style／copy ID 仍獨立審核，位置與實際命中須畫面驗收。凍結來源：Button(SailuneActionCopy.acknowledge, role: .cancel) { errorMessage = nil }",docs/work-items/v9-frozen-inventory.md,來源確認為文字 Button；位置／鍵盤焦點／實際命中及 Light／Dark 待驗收
V9-0965,已共用,已讀取 SailuneActionCopy 或位於其實作；原中文值由集中資源提供。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0966,合理例外,領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：} catch { errorMessage = error.localizedDescription },docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0967,合理例外,領域 catch 在同一來源行明確顯示錯誤、拋出具名錯誤或 private 記錄；其資料結果依原領域契約保留，沒有共用 catch 外殼的必要。原語句：} catch { errorMessage = error.localizedDescription },docs/work-items/v9-frozen-inventory.md,來源已見明確錯誤出口；故障注入與 GUI 呈現尚待驗收
V9-0968,合理例外,描述依目前資料或狀態即時組成；不能以固定通用動作文字取代，需核對可讀性及對象。,docs/work-items/v9-frozen-inventory.md,來源描述已分類；VoiceOver／滑鼠提示仍待驗收
V9-0969,合理例外,地圖縮小控制使用 minus；與移除或刪除不同語意，不與那些操作共用 key。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0970,合理例外,來源包含領域目標、特定操作方式或精確縮放／檔案語意，保留原生 help／AX 文字；逐項理由見 docs/v9-freeze/review-accessibility-domain-text.md。,docs/work-items/v9-frozen-inventory.md,來源文字及相鄰控制已核對；實際 hover／VoiceOver 待驗收
V9-0971,合理例外,來源包含領域目標、特定操作方式或精確縮放／檔案語意，保留原生 help／AX 文字；逐項理由見 docs/v9-freeze/review-accessibility-domain-text.md。,docs/work-items/v9-frozen-inventory.md,來源文字及相鄰控制已核對；實際 hover／VoiceOver 待驗收
V9-0972,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0973,合理例外,來源包含領域目標、特定操作方式或精確縮放／檔案語意，保留原生 help／AX 文字；逐項理由見 docs/v9-freeze/review-accessibility-domain-text.md。,docs/work-items/v9-frozen-inventory.md,來源文字及相鄰控制已核對；實際 hover／VoiceOver 待驗收
V9-0974,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0975,已共用,V9.1ax 固定重複描述「符合視窗」已接 SailuneActionCopy 或 SailuneAccessibilityCopy 單一來源；原文字逐字相同。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,String Catalog JSON 與主機無簽章 Debug build 通過；hover／VoiceOver 待驗收
V9-0976,已共用,V9.1ax 固定重複描述「符合視窗」已接 SailuneActionCopy 或 SailuneAccessibilityCopy 單一來源；原文字逐字相同。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,String Catalog JSON 與主機無簽章 Debug build 通過；hover／VoiceOver 待驗收
V9-0977,合理例外,採 macOS 原生 .bordered 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0978,已共用,"V9.1as 原字形由 SailuneSymbol.mapStack 提供；功能、文字與位置不變。原命中：systemName: ""square.stack.3d.up""",docs/work-items/v9.1as-frozen-symbol-groups.md,固定 ID、原字形與主機無簽章 macOS Debug build、git diff --check 通過；Light／Dark／VoiceOver 待驗收
V9-0979,已共用,V9.1ax 固定重複描述「管理圖層」已接 SailuneActionCopy 或 SailuneAccessibilityCopy 單一來源；原文字逐字相同。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,String Catalog JSON 與主機無簽章 Debug build 通過；hover／VoiceOver 待驗收
V9-0980,已共用,V9.1ax 固定重複描述「管理圖層」已接 SailuneActionCopy 或 SailuneAccessibilityCopy 單一來源；原文字逐字相同。,docs/work-items/v9.1ax-repeated-accessibility-copy.md,String Catalog JSON 與主機無簽章 Debug build 通過；hover／VoiceOver 待驗收
V9-0981,合理例外,採 macOS 原生 .bordered 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0982,合理例外,來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(style.title) { exportTemplate(style) },docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0983,合理例外,目前固定清單中僅此處使用的領域文案「匯出地圖 PDF」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0984,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0985,合理例外,來源包含領域目標、特定操作方式或精確縮放／檔案語意，保留原生 help／AX 文字；逐項理由見 docs/v9-freeze/review-accessibility-domain-text.md。,docs/work-items/v9-frozen-inventory.md,來源文字及相鄰控制已核對；實際 hover／VoiceOver 待驗收
V9-0986,合理例外,地圖匯入的向下匯入圖標；與匯出或新增不同。 目前凍結清單沒有同一語意的第二個呼叫點，不為單一用途新增共用 key；若日後出現同義功能另版本再審。,docs/work-items/v9-frozen-inventory.md,來源語意已核對；實際字形／Light／Dark／VoiceOver 待驗收
